,index
20161011,1296.622837479457
20161012,1294.1759745331942
20161013,1294.5315481666432
20161014,1295.8607324397738
20161017,1296.332641768869
20161018,1300.082275358674
20161019,1300.9454111792584
20161020,1303.3220532317453
20161021,1304.313299054461
20161024,1305.5372771120974
20161025,1306.3973647175014
20161026,1303.9618892056164
20161027,1305.6173517231612
20161028,1308.5220261561735
20161031,1307.71635739866
20161101,1310.3279257827476
20161102,1307.0329379381662
20161103,1311.177987474127
20161104,1309.8497602778716
20161107,1307.8064478054944
20161108,1308.7289340959778
20161109,1307.5687415075597
20161110,1308.9932745772403
20161111,1309.3038711616489
20161114,1305.0684071918197
20161115,1303.5683118301336
20161116,1303.7244126641
20161117,1300.7899591777636
20161118,1298.90757630617
20161121,1302.6807887321395
20161122,1305.4057465082317
20161123,1308.3196401512018
20161124,1309.3642003028565
20161125,1310.4754602575554
20161128,1315.5225855769145
20161129,1307.5608553460124
20161130,1302.025749162788
20161201,1298.256336773508
20161202,1296.7028873878337
20161205,1294.2826697906196
20161206,1289.7867817734957
20161207,1293.6592255833198
20161208,1293.2276882681608
20161209,1294.0950550603989
20161212,1283.837488023026
20161213,1280.8713414176127
20161214,1275.7049516869577
20161215,1262.7342610271564
20161216,1269.8483660933944
20161219,1260.1185143923333
20161220,1259.5393616113936
20161221,1267.9559596029137
20161222,1269.328363095484
20161223,1267.8613974040725
20161226,1267.1319291169077
20161227,1266.4773323092438
20161228,1267.4252400253276
20161229,1270.799030867449
20161230,1269.7374512967183
20170103,1270.105531010101
20170104,1270.5671627078875
20170105,1271.0532993060465
20170106,1270.0230256807215
20170109,1275.9050241363143
20170110,1278.1162746793057
20170111,1275.9610615942368
20170112,1276.173402387083
20170113,1275.7966724505927
20170116,1273.492022054532
20170117,1272.6098803681753
20170118,1273.908628525231
20170119,1274.1751745482711
20170120,1275.542829343449
20170123,1275.834975296106
20170124,1276.2517763210033
20170125,1274.640137747904
20170126,1275.6433261473817
20170203,1271.1627629534569
20170206,1271.3409327973066
20170207,1272.147752016885
20170208,1274.3584195797707
20170209,1277.29628474597
20170210,1279.3800335091366
20170213,1282.9687549127657
20170214,1281.0178606452114
20170215,1280.0175207188693
20170216,1282.151038581253
20170217,1282.0388339898957
20170220,1286.2246265355998
20170221,1285.8633678881051
20170222,1287.0036937476525
20170223,1285.8540802550165
20170224,1286.5271449031454
20170227,1285.3005482221015
20170228,1285.2465737065218
20170301,1284.993216229669
20170302,1283.9731313881916
20170303,1282.897485768647
20170306,1282.6244391901637
20170307,1283.5928076202422
20170308,1280.2608617329563
20170309,1276.9569788000313
20170310,1277.4348475412671
20170313,1284.4264389915384
20170314,1284.4520789888852
20170315,1285.5485780507372
20170316,1289.8949247231783
20170317,1288.1833031001315
20170320,1288.5490440598594
20170321,1288.221294302245
20170322,1286.9547719821962
20170323,1287.6269055980083
20170324,1292.069463832915
20170327,1290.4025894466963
20170328,1288.9025525189263
20170329,1290.6652693498252
20170330,1287.7645779250377
20170331,1288.697819179445
20170405,1291.1352588146565
20170406,1291.3907160154165
20170407,1290.8537156237462
20170410,1289.6735081018996
20170411,1288.9133073854491
20170412,1287.248797254999
20170413,1288.25323400681
20170414,1284.2827823940838
20170417,1281.183568456274
20170418,1279.4875949262787
20170419,1277.0905851061052
20170420,1279.2138257145568
20170421,1278.2542618383677
20170424,1273.7297727223709
20170425,1275.95168554116
20170426,1276.8080847644082
20170427,1279.0119643871442
20170428,1279.1054776378264
20170502,1278.388572071137
20170503,1276.5725631861635
20170504,1271.756889611056
20170505,1269.0781067552025
20170508,1267.601499094937
20170509,1267.7040209860536
20170510,1265.0553324696016
20170511,1267.451855824926
20170512,1266.5290664722206
20170515,1270.1051518695629
20170516,1271.085488459101
20170517,1272.5851115673138
20170518,1272.083695528817
20170519,1272.396463824095
20170522,1272.5913175274495
20170523,1273.4179229131892
20170524,1274.0386950095085
20170525,1278.841621569654
20170526,1278.7840799207715
20170531,1278.562610977817
20170601,1278.2733638860543
20170602,1277.9620218751616
20170605,1276.341271087793
20170606,1275.561577001905
20170607,1278.709198639062
20170608,1280.1515146449467
20170609,1282.0418538656606
20170612,1284.412756542305
20170613,1284.729543423826
20170614,1283.6867888254455
20170615,1284.26990336546
20170616,1284.1266003653952
20170619,1289.241305961603
20170620,1291.0033190972842
20170621,1292.338394685556
20170622,1292.766498330183
20170623,1292.8125808569937
20170626,1298.6577377460158
20170627,1301.4450918636142
20170628,1300.7704245803657
20170629,1303.6026388763132
20170630,1305.7634254706074
20170703,1306.491647158619
20170704,1302.6468755797491
20170705,1306.6520433620633
20170706,1309.2604899987464
20170707,1309.5836699370448
20170710,1310.999175728171
20170711,1313.9013414155154
20170712,1312.3314102438558
20170713,1316.7739644150108
20170714,1316.3992451231609
20170717,1316.49032464199
20170718,1313.8420185395344
20170719,1319.8175850032196
20170720,1319.7703134277906
20170721,1319.683686627999
20170724,1321.8095244049755
20170725,1321.1923885225076
20170726,1319.2562587855264
20170727,1321.1555866050169
20170728,1321.058040949815
20170731,1325.7541982671944
20170801,1325.002913558088
20170802,1326.6464771998717
20170803,1326.4312457184435
20170804,1326.6215769228484
20170807,1328.798650037261
20170808,1329.2161780475558
20170809,1330.9958536830443
20170810,1330.0900634259422
20170811,1325.1960374606629
20170814,1328.5499079471
20170815,1328.7347495543245
20170816,1328.68265836288
20170817,1332.2578935220631
20170818,1334.8282593489105
20170821,1336.6362022642652
20170822,1337.0478025815312
20170823,1335.7596605476865
20170824,1335.2613273517145
20170825,1339.729561547797
20170828,1341.975154483814
20170829,1340.9170246480503
20170830,1341.4196047480038
20170831,1341.841082855923
20170901,1344.879343178682
20170904,1344.969337472666
20170905,1347.2622083088092
20170906,1344.7463807988393
20170907,1342.9366912715427
20170908,1343.6765314364916
20170911,1346.9314217826857
20170912,1347.7242526797734
20170913,1346.6197744986962
20170914,1345.00684326812
20170915,1344.9205202130522
20170918,1347.338638300458
20170919,1346.0357220979422
20170920,1347.0558837914737
20170921,1344.2831342004035
20170922,1341.6739002813858
20170925,1343.8879013558565
20170926,1344.96799559043
20170927,1346.780908899972
20170928,1345.674052383943
20170929,1349.6251721441784
20171009,1354.6860562824654
20171010,1351.840669065363
20171011,1352.4117523868877
20171012,1354.0014021988602
20171013,1356.352398837919
20171016,1356.3974459664948
20171017,1352.0087620223003
20171018,1350.5730108034152
20171019,1349.6412569668
20171020,1353.0453912856854
20171023,1353.260899794018
20171024,1354.6098790048147
20171025,1354.6395196809906
20171026,1355.7731687477324
20171027,1353.8471275800637
20171030,1349.7784168457456
20171031,1350.70191772255
20171101,1350.6265097660246
20171102,1350.1912288423523
20171103,1347.598097428537
20171106,1352.003791473158
20171107,1353.031219896463
20171108,1352.644883474573
20171109,1354.3437898938726
20171110,1356.126815884129
20171113,1358.2617264150758
20171114,1355.4753822958808
20171115,1353.554958222112
20171116,1356.9024492536616
20171117,1356.3658540724284
20171120,1358.839439079501
20171121,1362.2034032449833
20171122,1362.7704844640698
20171123,1357.143607146442
20171124,1357.1811357177269
20171127,1354.1002772403965
20171128,1354.442211527099
20171129,1356.0246893341882
20171130,1355.0035215164253
20171201,1356.0427273932305
20171204,1360.7372740124752
20171205,1360.9051401833058
20171206,1358.365771741804
20171207,1355.8430543883965
20171208,1359.046454793723
20171211,1360.404825320876
20171212,1358.86650457757
20171213,1359.401085583396
20171214,1358.8064647234896
20171215,1359.397139908842
20171218,1361.6010702772649
20171219,1363.4326442574916
20171220,1363.4781518795537
20171221,1365.0097108406785
20171222,1366.343904274277
20171225,1363.7858848220303
20171226,1366.0773227921595
20171227,1362.1847910218205
20171228,1364.544810822002
20171229,1365.2599415843974
20180102,1371.1505827278738
20180103,1372.199204357231
20180104,1372.783799734316
20180105,1374.9413600374112
20180108,1377.8670571787568
20180109,1381.079369648333
20180110,1381.684729608792
20180111,1380.9813060961349
20180112,1380.7830862314192
20180115,1380.9596134359792
20180116,1380.322366414868
20180117,1381.5726235159734
20180118,1382.9449619921809
20180119,1385.0195573940969
20180122,1387.848278039708
20180123,1390.8579822543606
20180124,1391.949773824783
20180125,1393.3220402207091
20180126,1394.9637383449897
20180129,1393.9328547083965
20180130,1392.5462809601606
20180131,1391.2718672052788
20180201,1390.8360064427725
20180202,1392.8843693808783
20180205,1393.1497938610703
20180206,1387.5666936926402
20180207,1383.8246861278951
20180208,1380.3277774812552
20180209,1370.4885616189736
20180212,1375.6245509613398
20180213,1377.340658675338
20180214,1379.4388982902794
20180222,1382.183109798436
20180223,1383.867763360782
20180226,1386.946450240924
20180227,1388.8234491343162
20180228,1390.7058540081143
20180301,1392.7811880343268
20180302,1393.9423818705932
20180305,1390.9419874478776
20180306,1389.791280107563
20180307,1389.2542191080515
20180308,1388.697407949869
20180309,1387.4654523695715
20180312,1389.481040896051
20180313,1390.0155198033824
20180314,1390.4217017526091
20180315,1390.0262567583643
20180316,1389.3228730065064
20180319,1389.6435468799918
20180320,1390.688138135263
20180321,1388.9958585452262
20180322,1389.7917636086484
20180323,1381.40850969373
20180326,1384.0966187293316
20180327,1386.32702111271
20180328,1384.563615795282
20180329,1386.6635903995077
20180330,1388.446684977102
20180402,1389.3177794406174
20180403,1388.7418114940608
20180404,1387.765193950578
20180409,1392.057981045557
20180410,1394.3011532783578
20180411,1396.1232611883902
20180412,1394.5430594940933
20180413,1396.2962981453693
20180416,1396.943407349655
20180417,1401.069869170561
20180418,1410.7509470904083
20180419,1416.476189719995
20180420,1413.829702323333
20180423,1415.1062499662569
20180424,1416.468006691089
20180425,1416.4489023911483
20180426,1414.1370676323625
20180427,1415.3068981557494
20180502,1417.3438479905324
20180503,1417.9849205170017
20180504,1416.1740034331397
20180507,1419.3917137813055
20180508,1420.1871837005808
20180509,1416.8927618484431
20180510,1418.8112672966452
20180511,1419.7982885152792
20180514,1419.1026295749932
20180515,1418.975193849294
20180516,1418.6787840412635
20180517,1416.280303025917
20180518,1416.908699478592
20180521,1418.9851845845242
20180522,1419.1714530096297
20180523,1418.201304540787
20180524,1417.6353584772662
20180525,1419.858310678873
20180528,1420.3358014623602
20180529,1421.401554798675
20180530,1419.6671287315746
20180531,1420.976187152988
20180601,1419.580759509132
20180604,1418.2454609376232
20180605,1419.5351160188795
20180606,1420.2242066772928
20180607,1419.436720910769
20180608,1418.858834253159
20180611,1419.550884248377
20180612,1419.8700550371016
20180613,1419.6448622719795
20180614,1423.5262590363886
20180615,1423.3006486202064
20180619,1417.5120026320035
20180620,1416.4770419217011
20180621,1416.9840032584991
20180622,1419.2376062307935
